month_name,Usage_kWh,CO2(tCO2)
April,25.923152777777776,0.010878472222222223
August,28.0217876344086,0.011911962365591399
December,23.31289314516129,0.0095497311827957
February,29.330587797619046,0.011741071428571429
January,33.876300403225805,0.014758064516129033
July,27.497762096774192,0.011696908602150538
June,25.909760416666668,0.010902777777777777
March,27.107281586021507,0.01147513440860215
May,28.636165994623653,0.012217741935483872
November,30.867704861111115,0.013086805555555555
October,27.564022177419353,0.01157258064516129
September,20.58127083333333,0.008430555555555556
