step,epoch,train_loss,val_acc,val_loss,train_acc
49,0,1.872771143913269,,,
99,0,1.8844833374023438,,,
149,0,1.9114165306091309,,,
199,0,1.877909779548645,,,
249,0,1.883790373802185,,,
272,0,,0.2544786334037781,1.8644429445266724,
272,0,,,,0.258034884929657
299,1,1.8814884424209595,,,
349,1,1.820128083229065,,,
399,1,1.8869913816452026,,,
449,1,1.8706510066986084,,,
499,1,1.7872055768966675,,,
545,1,,0.2544786334037781,1.8194595575332642,
545,1,,,,0.26159319281578064
549,2,1.798752784729004,,,
599,2,1.7841066122055054,,,
649,2,1.91960608959198,,,
699,2,1.7600536346435547,,,
749,2,1.7863215208053589,,,
799,2,1.7502120733261108,,,
818,2,,0.2544786334037781,1.7785385847091675,
818,2,,,,0.26159319281578064
849,3,1.764474630355835,,,
899,3,1.8031736612319946,,,
949,3,1.8037961721420288,,,
999,3,1.551992416381836,,,
1049,3,1.7534334659576416,,,
1091,3,,0.2544786334037781,1.731834888458252,
1091,3,,,,0.26159319281578064
1099,4,1.805803656578064,,,
1149,4,1.5895142555236816,,,
1199,4,1.6618931293487549,,,
1249,4,1.5981075763702393,,,
1299,4,1.7135426998138428,,,
1349,4,1.6934154033660889,,,
1364,4,,0.2599908113479614,1.6687754392623901,
1364,4,,,,0.2622819244861603
1399,5,1.675298810005188,,,
1449,5,1.5983797311782837,,,
1499,5,1.6440640687942505,,,
1549,5,1.6148438453674316,,,
1599,5,1.6127671003341675,,,
1637,5,,0.35415709018707275,1.58515465259552,
1637,5,,,,0.3095729947090149
1649,6,1.5909931659698486,,,
1699,6,1.6470295190811157,,,
1749,6,1.6485259532928467,,,
1799,6,1.631044626235962,,,
1849,6,1.4967317581176758,,,
1899,6,1.5490590333938599,,,
1910,6,,0.38814881443977356,1.488793134689331,
1910,6,,,,0.38820019364356995
1949,7,1.4274134635925293,,,
1999,7,1.5174267292022705,,,
2049,7,1.4448249340057373,,,
2099,7,1.39083731174469,,,
2149,7,1.438558578491211,,,
2183,7,,0.4097381830215454,1.393270492553711,
2183,7,,,,0.4108126759529114
2199,8,1.4790034294128418,,,
2249,8,1.621212124824524,,,
2299,8,1.3677258491516113,,,
2349,8,1.371378779411316,,,
2399,8,1.311139702796936,,,
2449,8,1.1565290689468384,,,
2456,8,,0.4836931526660919,1.307608962059021,
2456,8,,,,0.4414600431919098
2499,9,1.2683645486831665,,,
2549,9,1.1071280241012573,,,
2599,9,1.140979290008545,,,
2649,9,1.4697736501693726,,,
2699,9,1.1414000988006592,,,
2729,9,,0.5401929020881653,1.230889916419983,
2729,9,,,,0.5136592984199524
2749,10,1.3098247051239014,,,
2799,10,1.209210753440857,,,
2849,10,1.3252055644989014,,,
2899,10,1.0210603475570679,,,
2949,10,1.091567039489746,,,
2999,10,1.0736562013626099,,,
3002,10,,0.5443270802497864,1.1592912673950195,
